pays,code_pays,année,produit,code_produit,dispo_int,dispo_kcal,dispo_kg,pertes,autres_utilisations
Algérie,4,2013,Avoine,2516,122000.0,0.0,0.01,6000.0,
Algérie,4,2013,Millet,2517,1000.0,,,,
Algérie,4,2013,Sorgho,2518,3000.0,1.0,0.07,0.0,
Algérie,4,2013,"Céréales, Autres",2520,4000.0,0.0,0.03,,
Algérie,4,2013,Pommes de Terre,2531,5087000.0,126.0,64.78,1773000.0,603000.0
Algérie,4,2013,Manioc,2532,0.0,0.0,0.0,,
Algérie,4,2013,Patates douces,2533,0.0,,,,
Algérie,4,2013,Racines nda,2534,0.0,0.0,0.0,,
Algérie,4,2013,"Sucre, canne",2536,0.0,,,,
Algérie,4,2013,"Sucre, betterave",2537,0.0,,,0.0,
Algérie,4,2013,Sucre Eq Brut,2542,1279000.0,258.0,27.78,,190000.0
Algérie,4,2013,Edulcorants Autres,2543,24000.0,6.0,0.6,,
Algérie,4,2013,Haricots,2546,64000.0,14.0,1.55,3000.0,
Algérie,4,2013,Pois,2547,19000.0,4.0,0.46,0.0,
Algérie,4,2013,Légumineuses Autres,2549,277000.0,61.0,6.31,12000.0,
Algérie,4,2013,Noix,2551,71000.0,13.0,1.8,,
Algérie,4,2013,Soja,2555,0.0,0.0,0.0,,
Algérie,4,2013,Arachides Decortiquees,2556,55000.0,5.0,0.28,,
Algérie,4,2013,Graines de tournesol,2557,3000.0,,,0.0,
Algérie,4,2013,Graines Colza/Moutarde,2558,49000.0,0.0,0.0,5000.0,
Algérie,4,2013,Graines de coton,2559,0.0,,,0.0,0.0
Algérie,4,2013,Coco (Incl Coprah),2560,3000.0,0.0,0.06,,
Algérie,4,2013,Sésame,2561,5000.0,2.0,0.12,,
Algérie,4,2013,Palmistes,2562,0.0,0.0,0.0,,
Algérie,4,2013,Olives,2563,591000.0,12.0,4.87,,
Algérie,4,2013,"Plantes Oleiferes, Autre",2570,5000.0,0.0,,,3000.0
Algérie,4,2013,Huile de Soja,2571,293000.0,181.0,7.48,,
Algérie,4,2013,Huile d'Arachide,2572,20000.0,12.0,0.5,,
Algérie,4,2013,Huile de Tournesol,2573,77000.0,48.0,1.98,,
Algérie,4,2013,Huile de Colza&Moutarde,2574,18000.0,11.0,0.46,,0.0
Algérie,4,2013,Huile Graines de Coton,2575,0.0,,,,0.0
Algérie,4,2013,Huile de Palmistes,2576,0.0,,,,0.0
Algérie,4,2013,Huile de Palme,2577,82000.0,18.0,0.74,,52000.0
Algérie,4,2013,Huile de Coco,2578,1000.0,1.0,0.03,,
Algérie,4,2013,Huile de Sésame,2579,0.0,0.0,0.0,,
Algérie,4,2013,Huile d'Olive,2580,68000.0,42.0,1.73,,0.0
Algérie,4,2013,Huile de Germe de Maïs,2582,2000.0,1.0,0.05,,
Algérie,4,2013,Huil Plantes Oleif Autr,2586,81000.0,47.0,1.99,,3000.0
Algérie,4,2013,Tomates,2601,1151000.0,16.0,27.36,78000.0,
Algérie,4,2013,Oignons,2602,1344000.0,35.0,32.57,67000.0,
Algérie,4,2013,"Légumes, Autres",2605,4542000.0,73.0,105.76,398000.0,
Algérie,4,2013,"Oranges, Mandarines",2611,1174000.0,24.0,28.47,58000.0,
Algérie,4,2013,Citrons & Limes,2612,83000.0,1.0,1.91,8000.0,
Algérie,4,2013,Pamplemousse,2613,3000.0,0.0,0.07,0.0,
Algérie,4,2013,"Agrumes, Autres",2614,9000.0,0.0,0.23,,
Algérie,4,2013,Bananes,2615,274000.0,10.0,6.3,27000.0,
Algérie,4,2013,Bananes plantains,2616,0.0,0.0,0.0,,
Algérie,4,2013,Pommes,2617,572000.0,18.0,13.86,28000.0,
Algérie,4,2013,Ananas,2618,10000.0,0.0,0.26,0.0,
Algérie,4,2013,Dattes,2619,855000.0,101.0,20.93,34000.0,
Algérie,4,2013,Raisin,2620,605000.0,21.0,13.06,10000.0,
Algérie,4,2013,"Fruits, Autres",2625,1202000.0,39.0,29.1,61000.0,
Algérie,4,2013,Café,2630,129000.0,4.0,3.3,,
Algérie,4,2013,Feve de Cacao,2633,41000.0,10.0,1.06,,
Algérie,4,2013,Thé,2635,13000.0,0.0,0.33,,
Algérie,4,2013,Poivre,2640,4000.0,1.0,0.1,,
Algérie,4,2013,Piments,2641,20000.0,4.0,0.48,1000.0,
Algérie,4,2013,Girofles,2642,0.0,0.0,0.0,,
Algérie,4,2013,"Épices, Autres",2645,10000.0,2.0,0.25,,
Algérie,4,2013,Vin,2655,55000.0,0.0,0.01,,32000.0
Algérie,4,2013,Bière,2656,188000.0,6.0,4.8,,
Algérie,4,2013,Boissons Fermentés,2657,0.0,0.0,0.0,,
Algérie,4,2013,Boissons Alcooliques,2658,7000.0,1.0,0.18,,
Algérie,4,2013,"Alcool, non Comestible",2659,3000.0,,,,3000.0
Algérie,4,2013,Aliments pour enfants,2680,22000.0,6.0,0.55,,
Algérie,4,2013,Viande de Bovins,2731,220000.0,25.0,5.6,,
Algérie,4,2013,Viande d'Ovins/Caprins,2732,301000.0,43.0,7.69,,
Algérie,4,2013,Viande de Suides,2733,0.0,0.0,0.0,,0.0
Algérie,4,2013,Viande de Volailles,2734,291000.0,26.0,7.42,,
Algérie,4,2013,"Viande, Autre",2735,14000.0,1.0,0.36,,
Algérie,4,2013,Abats Comestible,2736,57000.0,4.0,1.45,,0.0
Algérie,4,2013,Graisses Animales Crue,2737,10000.0,6.0,0.25,,1000.0
Algérie,4,2013,"Beurre, Ghee",2740,20000.0,11.0,0.5,,
Algérie,4,2013,Oeufs,2744,348000.0,27.0,8.06,10000.0,
Algérie,4,2013,Miel,2745,7000.0,1.0,0.17,,
Algérie,4,2013,Poissons Eau Douce,2761,13000.0,1.0,0.34,,0.0
Algérie,4,2013,Perciform,2762,17000.0,0.0,0.42,,0.0
Algérie,4,2013,Poissons Pelagiques,2763,100000.0,6.0,2.55,,0.0
Algérie,4,2013,"Poissons Marins, Autres",2764,17000.0,1.0,0.43,,0.0
Algérie,4,2013,Crustacés,2765,5000.0,0.0,0.12,,0.0
